Ns,v1,v4
100000,1.4149499717010498e-5,1.3913843761739787e-5
200000,1.4916290158261363e-5,1.4320906491665236e-5
300000,1.664961510605707e-5,1.4984112897546359e-5
400000,1.7833151839930095e-5,1.5821611771220633e-5
500000,1.9173313520975536e-5,1.6860509252156027e-5
600000,2.0602905031213302e-5,1.744660222792142e-5
700000,2.1467406246981164e-5,1.857923768645695e-5
800000,2.3073013601439745e-5,1.8917959714339766e-5
900000,2.3890876388656622e-5,1.982904972090856e-5
1000000,2.589187291086802e-5,2.008253074605884e-5
1100000,2.7218248186606062e-5,2.0890877935155006e-5
1200000,2.8536488713865816e-5,2.1817028918317483e-5
1300000,2.944855480299193e-5,2.2647017121116037e-5
1400000,3.111397431549471e-5,2.2660849271454147e-5
1500000,3.158504620826885e-5,2.3276590591685676e-5
1600000,3.3461884908817145e-5,2.4387648745869354e-5
1700000,3.4607352661267995e-5,2.51554961763892e-5
1800000,3.567286630043164e-5,2.5585233078763223e-5
1900000,3.740302474192101e-5,2.6392742870716162e-5
2000000,3.7966158203458684e-5,2.7322797019084964e-5
2100000,3.9776032814923826e-5,2.79794735384228e-5
2200000,4.0945695102976705e-5,2.8397498814408845e-5
2300000,4.2203795674192856e-5,2.8886643196556757e-5
2400000,4.354254400975333e-5,3.002057565068596e-5
2500000,4.5344447933434605e-5,3.10226218861486e-5
2600000,4.723867280757694e-5,3.102931621571305e-5
2700000,4.795213306480616e-5,3.201534156648686e-5
2800000,5.17799484789644e-5,3.367425302645093e-5
2900000,5.223490422836845e-5,3.4189409586652546e-5
3000000,5.83522031218089e-5,3.5979590127365616e-5
3100000,6.384293966865643e-5,5.399828599584222e-5
3200000,9.033165335802355e-5,7.97912720817043e-5
3300000,0.0001291882710890066,0.00012674096578163614
3400000,0.00015565361634241242,0.00014826292676056336
3500000,0.00017303843221731975,0.00016575245885472775
3600000,0.00017804443920242124,0.00016934935944115152
3700000,0.00018322041205569807,0.00017389307372630848
3800000,0.00018619863768385778,0.0001800647907814188
3900000,0.00019175657670182167,0.00018296450246981338
4000000,0.00019656560412776414,0.0001857523437035661
4100000,0.00020570864609688368,0.00019233855341859796
4200000,0.00021249630779855504,0.00020339683412997058
4300000,0.00021711127529309594,0.00020970347431327322
4400000,0.0002250657747271295,0.0002144513858689825
4500000,0.00022903871086682703,0.00022869899142465122
4600000,0.00023225710810496984,0.00023530330341176467
4700000,0.0002346821502991904,0.00024157537113526573
4800000,0.0002424508789090909,0.00024809824051103956
4900000,0.00024474996757219787,0.0002560044603865353
5000000,0.00025042924101665193,0.000264191635979395
5100000,0.00025689156357564864,0.0002686158444802578
5200000,0.00026076499035202074,0.00027169204007063304
5300000,0.00026658593615886984,0.00027924899385732246
5400000,0.0002701849334053762,0.0002834063219042222
5500000,0.00027418924619602476,0.00028710765264819855
5600000,0.00027741030832177535,0.0002908129430066881
5700000,0.0002836169028644357,0.00029907127915669845
5800000,0.0002888108787003611,0.00030320311141427916
5900000,0.00029344447960680747,0.000306478953570334
6000000,0.00029462897657976157,0.000309267145198701
6100000,0.00030240452313274864,0.000317691952350699
6200000,0.00030995860049589334,0.0003267484273811468
6300000,0.0003181306452998251,0.0003296125825642717
6400000,0.0003222576805219914,0.0003418167069377991
6500000,0.0003243014841115436,0.00033704601651499827
6600000,0.0003293440785443766,0.00034665992876949743
6700000,0.0003290533571311071,0.00035860937038365
6800000,0.00033480756545028464,0.00034803133791543424
6900000,0.0003363414193711116,0.00035254750044068394
7000000,0.0003408171981598228,0.0003589220410909745
7100000,0.00034518020931837795,0.0003645475866593765
7200000,0.000351084551342812,0.0003689851193506735
7300000,0.00035524374746936607,0.000375986802255639
7400000,0.0003698787000739645,0.00039243698312732984
7500000,0.0003742023567820392,0.0003912743530907668
7600000,0.00037076911121408705,0.0003939865560370297
7700000,0.0003813048116660312,0.0003933477109144541
7800000,0.00037806579587979574,0.00039999376384723066
7900000,0.0003837601187643898,0.0004036821192734611
8000000,0.0003897992325082831,0.0004075973751783166
8100000,0.00039194781736233577,0.0004118821822487643
8200000,0.0003956271950158228,0.0004203854674232871
8300000,0.00040020612745098044,0.00042378821334745757
8400000,0.0004064840847388742,0.00042850814203084837
8500000,0.00041075135133470216,0.0004362976820065431
8600000,0.0004198212000419815,0.00044619498193174215
8700000,0.00042318122445525697,0.0004505134513513514
8800000,0.0004263121093350384,0.0004911019140682542
8900000,0.0004772445180147935,0.0005011797709847154
9000000,0.00047227300212514766,0.0004941466301877469
9100000,0.0004745217919335706,0.0004969736740372672
9200000,0.00048457680499031,0.0005044537704918035
9300000,0.00048312200482975124,0.0005150082834706493
9400000,0.0004922572060054147,0.0005181009026159027
9500000,0.000491802621096632,0.0005182974822492871
9600000,0.0004996626636704119,0.0005305694798408487
9700000,0.0005041641525081927,0.0005367008229138717
9800000,0.0005110212892181909,0.0005351412982878542
9900000,0.00048637555920252857,0.0005039630408163265
10000000,0.00047747396538553384,0.0005078111657781161
10100000,0.0004825962880579011,0.0005124535349730977
10200000,0.0004856679963583394,0.0005179321284308647
10300000,0.0004939900009878981,0.0005256908541392904
10400000,0.0004998704452773616,0.0005332411540922422
10500000,0.0005056992887484199,0.0005342069962606839
10600000,0.0005109431652618134,0.0005411018809845823
10700000,0.000516559699121901,0.0005455963461538458
10800000,0.0005178775297773176,0.0005499443266428376
10900000,0.0005223973786889532,0.0005558154634620726
11000000,0.0005274323929324892,0.0005703232064442542
11100000,0.0005311358125331916,0.0005676095683881956
11200000,0.0005374185131649651,0.000572401648640916
11300000,0.000542045727371274,0.0005770004381309488
11400000,0.0005470341944216571,0.0005785770280590108
11500000,0.0005509518901129165,0.0005871891059583212
11600000,0.000555389779844531,0.0005963298011329756
11700000,0.0005591252940190049,0.0005948606592328278
11800000,0.0005691390318634422,0.0006064406018799274
11900000,0.0005712211924614503,0.000605070510889292
12000000,0.0005741826888633753,0.0006080480544072947
12100000,0.0005798949060597279,0.000615612460757156
12200000,0.0005850548508335773,0.0006230774190031153
12300000,0.000596942295434199,0.0006253123188496405
12400000,0.0005948993114217727,0.0006286517102451289
12500000,0.0005962730104321908,0.0006332215549224438
12600000,0.0006030227012360567,0.0006379635480063795
12700000,0.0006063605453167625,0.0006385684666453876
12800000,0.0006107396170992366,0.0006485023293354943
12900000,0.0006167178248535303,0.0006550987795610871
13000000,0.0006220116616915424,0.0006585594461639777
13100000,0.0006592559607778508,0.0007076029189954018
13200000,0.0006790236490156146,0.0007277216304110584
13300000,0.000695351118873827,0.0007385800096011816
13400000,0.0006953381105318041,0.0007411979803630974
13500000,0.0007063670264830506,0.0007476276106128546
13600000,0.0007044747640014087,0.0007492890400749065
13700000,0.0007079158878273178,0.0007377845820730357
13800000,0.0007129629636493227,0.0007150137337383848
13900000,0.0006637539787657596,0.0007062682411723163
14000000,0.000665853932090546,0.0007067072903567643
14100000,0.0006726520776731678,0.0007113986742532009
14200000,0.0006774776484930577,0.0007189033233920229
14300000,0.00068023894899694,0.000722390907547851
14400000,0.0006876417535235474,0.000735202328188166
14500000,0.0006906587282458568,0.0007353436643382353
14600000,0.0006943105303713988,0.0007383991162790697
14700000,0.0006976735381932335,0.0007385680398818314
14800000,0.0007068912371024731,0.0007475394390881915
14900000,0.0007135140895149787,0.0007566991043872921
15000000,0.0007202970115232264,0.0007610895395738206
15100000,0.0007244819445852953,0.000760593945247148
15200000,0.0007304855843681516,0.0007663426264367816
15300000,0.0007282254856206779,0.0007725946960216303
15400000,0.0007384991181247689,0.0007807099699453554
15500000,0.0007389997846324348,0.0007836465385820604
15600000,0.0007400182826489083,0.0007897209009080143
15700000,0.0007471436660440791,0.0007902823749506119
15800000,0.0007475565975336323,0.0007950312142289346
15900000,0.000752605138826186,0.0008014797668269229
16000000,0.0007556927903286735,0.0008009281417133707
16100000,0.0007636188797709927,0.0008100572280275407
16200000,0.0007658632775650842,0.0008414603117374842
16300000,0.0008112995892133005,0.0008529083420042643
16400000,0.0008112461463909162,0.0008618450124946145
16500000,0.0008156740375203912,0.0008632878459214504
16600000,0.0008196877877049182,0.0008700328856024361
16700000,0.0008241771269056447,0.0008741467062937062
16800000,0.0008343333890742289,0.0008659740419913422
16900000,0.0007995566874500402,0.0008458963002114163
