n,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1000000,Float32,CUDA,10.063648223876953,0.5328993170996972,61.4559,19.187632845458584
1000000,Float32,AK,11.84701919555664,0.2725667366411973,68.24852,17.859366457753286
1000000,Float32,KernelForge,6.046295166015625,0.24086248731363194,79.58654,30.555273054296634
1000000,Float32,CUB,9.353,0.421,NaN,NaN
1000000,UnitFloat8→Float32,CUDA,7.302761077880859,0.21871122110054636,69.86748,19.514826853984896
1000000,UnitFloat8→Float32,AK,10.945796966552734,0.23255457972377166,78.53598,23.249531693330777
1000000,UnitFloat8→Float32,KernelForge,4.863739013671875,0.19466795466607237,76.13729,35.670073864245175
1000000,UnitFloat8→Float32,CUB,8.012,0.337,NaN,NaN
10000000,Float32,CUDA,80.91449737548828,0.45436846710007284,134.72688,15.140215583162826
10000000,Float32,AK,77.0258903503418,0.37006310999436326,122.83205000000001,17.273507254644688
10000000,Float32,KernelForge,71.20847702026367,0.36975266733245427,136.13783999999998,19.481209970988385
10000000,Float32,CUB,75.578,0.29300000000000004,NaN,NaN
10000000,UnitFloat8→Float32,CUDA,39.839744567871094,0.38859783111515056,122.61135,19.96925218317027
10000000,UnitFloat8→Float32,AK,74.37467575073242,0.370249250649129,120.27044000000001,18.752115211771596
10000000,UnitFloat8→Float32,KernelForge,23.281574249267578,0.3717967986715586,89.64877,20.06779872667763
10000000,UnitFloat8→Float32,CUB,25.373,3.254,NaN,NaN
100000000,Float32,CUDA,724.8854637145996,1.1879410353437536,823.52488,53.50609445723229
100000000,Float32,AK,705.0633430480957,0.3445444488994047,1242.97721,4676.395303468199
100000000,Float32,KernelForge,679.9101829528809,1.778802998066759,777.88664,30.50616989540432
100000000,Float32,CUB,683.153,0.653,NaN,NaN
100000000,UnitFloat8→Float32,CUDA,323.7318992614746,0.9763171785756818,379.34290000000004,15.151772439906399
100000000,UnitFloat8→Float32,AK,678.0600547790527,0.33288168501990356,714.94722,36.40182788411382
100000000,UnitFloat8→Float32,KernelForge,178.41577529907227,0.6862123846064315,245.56501,19.64476508339352
100000000,UnitFloat8→Float32,CUB,175.15800000000002,0.309,NaN,NaN
1000000000,Float32,CUDA,7207.272052764893,9.457634269698977,7439.8740099999995,37.82005378490131
1000000000,Float32,AK,6971.92907333374,1.4952326123079813,7076.401,125.32707187760408
1000000000,Float32,KernelForge,6562.297344207764,2.107796711091348,6798.74016,74.93648944754227
1000000000,Float32,CUB,6809.291,2.431,NaN,NaN
1000000000,UnitFloat8→Float32,CUDA,3310.1534843444824,5.1982888754639704,3553.34053,322.9813632924532
1000000000,UnitFloat8→Float32,AK,6719.088554382324,0.42121297221179177,6526.628070000001,62.53199471741234
1000000000,UnitFloat8→Float32,KernelForge,1718.3899879455566,2.5040830627382586,1897.15452,77.42111465194164
1000000000,UnitFloat8→Float32,CUB,1723.7050000000002,3.036,NaN,NaN
