n,p,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1,1000000,Float32,KernelForge,20.284652709960938,0.5113284264753851,66.97538,16.864370597568154
1,1000000,Float32,cuBLAS,18.491744995117188,0.4085076468716078,52.30418,14.846935883844514
10,100000,Float32,KernelForge,9.028911590576172,0.3062167109783685,56.146660000000004,17.49772888940941
10,100000,Float32,cuBLAS,12.972354888916016,0.22756302150864535,47.832269999999994,15.457391432452653
100,10000,Float32,KernelForge,7.541179656982422,0.2264501135434158,57.765010000000004,24.18085529291445
100,10000,Float32,cuBLAS,7.154941558837891,0.21564440645591917,41.79323,15.968001442186708
1000,1000,Float32,KernelForge,7.464885711669922,0.2725667366411973,55.276019999999995,17.88064195624063
1000,1000,Float32,cuBLAS,10.54525375366211,0.18515951463641395,43.620129999999996,14.249216460226997
10000,100,Float32,KernelForge,7.874965667724609,0.22080144870954635,57.61312,18.34585916743926
10000,100,Float32,cuBLAS,11.42263412475586,0.19787131651704057,47.24421,14.996093913837239
100000,10,Float32,KernelForge,5.4454803466796875,0.18782270962422595,37.439800000000005,14.451730815918127
100000,10,Float32,cuBLAS,4.4345855712890625,0.17608379027271184,37.75755,14.636677523149395
1000000,1,Float32,KernelForge,13.649463653564453,0.34287392051775617,47.20901,14.513715363977814
1000000,1,Float32,cuBLAS,53.424835205078125,0.16834881881875963,82.18619,18.090258841805866
1,10000000,Float32,KernelForge,143.21565628051758,0.5300905273962749,191.37351,23.744045153945994
1,10000000,Float32,cuBLAS,151.51262283325195,0.5725807581462382,185.56885999999997,14.227418052649204
10,1000000,Float32,KernelForge,88.38176727294922,0.6764748558719008,137.65314999999998,17.755059667755432
10,1000000,Float32,cuBLAS,80.59978485107422,1.617679593754033,115.46885,23.80051808678742
100,100000,Float32,KernelForge,80.85966110229492,0.5873126942391494,130.51112,20.18509751431046
100,100000,Float32,cuBLAS,77.98194885253906,0.3191172921561282,112.5702,15.668747168755509
1000,10000,Float32,KernelForge,76.8589973449707,0.7567241338748293,127.6756,25.136854882700412
1000,10000,Float32,cuBLAS,76.57766342163086,0.46672970008932824,110.22710000000001,15.269338805117084
10000,1000,Float32,KernelForge,72.08585739135742,0.6972685881669525,121.75214,18.418072480017877
10000,1000,Float32,cuBLAS,74.50580596923828,0.33971953957033874,110.48994,15.327026038611757
100000,100,Float32,KernelForge,74.12910461425781,0.3516454637563814,106.50682,14.665042558410802
100000,100,Float32,cuBLAS,71.44451141357422,0.44082208187797367,105.54673,19.948335913409984
1000000,10,Float32,KernelForge,76.4012336730957,0.2822532777442001,108.85584,14.1381696068737
1000000,10,Float32,cuBLAS,76.63249969482422,0.2714796948147323,109.74081,14.019926725478195
10000000,1,Float32,KernelForge,140.48099517822266,0.5563925809818541,174.20524,13.95026017144157
10000000,1,Float32,cuBLAS,513.9517784118652,0.41233389381498203,510.72547,24.702347616916285
1,100000000,Float32,KernelForge,1380.4197311401367,1.107706640345777,1488.5163,39.17653782262639
1,100000000,Float32,cuBLAS,1366.8322563171387,1.6698225945740985,1472.38717,37.70465000636024
