n,p,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1,1000000,Float32,KernelForge,14.293193817138672,0.24988324144423024,50.290690000000005,14.807293345377492
1,1000000,Float32,cuBLAS,53.45582962036133,0.18341474531381805,85.96422,14.291464764069014
10,100000,Float32,KernelForge,7.607936859130859,0.17310760448565896,43.44269,15.646572318791478
10,100000,Float32,cuBLAS,10.07080078125,0.24929661975476142,47.11835,20.421682939669388
100,10000,Float32,KernelForge,6.887912750244141,0.130784943680725,42.75819,15.605937950247322
100,10000,Float32,cuBLAS,6.566047668457031,0.14143652297557271,43.030989999999996,15.733645182127082
1000,1000,Float32,KernelForge,6.349086761474609,0.15023600274027996,42.096940000000004,15.900444493386741
1000,1000,Float32,cuBLAS,11.138916015625,0.20070920386948407,46.17606,14.86618996573681
10000,100,Float32,KernelForge,7.016658782958984,0.1279443483707527,42.64846,15.170161460437974
10000,100,Float32,cuBLAS,12.154579162597656,0.2060729315573984,48.92448,14.732260520025397
100000,10,Float32,KernelForge,8.12530517578125,0.21075637913041376,57.85493,15.717484586355514
100000,10,Float32,cuBLAS,7.767677307128906,0.2471221435621317,45.927099999999996,16.133654841211694
1000000,1,Float32,KernelForge,17.75979995727539,0.29248328927611505,67.77474000000001,16.344941493831286
1000000,1,Float32,cuBLAS,18.362998962402344,0.40093178774822535,56.03283999999999,14.657870792033867
1,10000000,Float32,KernelForge,140.19250869750977,0.5735826675340694,179.9461,15.104680880943876
1,10000000,Float32,cuBLAS,514.3070220947266,0.3383986570405742,516.41637,20.375256074318195
10,1000000,Float32,KernelForge,74.34844970703125,0.3692320911218918,115.62291,24.011344203237844
10,1000000,Float32,cuBLAS,80.71184158325195,0.23588851419537593,116.72725,15.05211783909225
100,100000,Float32,KernelForge,72.15023040771484,0.27063237784535127,109.75784,15.981080331441925
100,100000,Float32,cuBLAS,86.669921875,1.4773015303749775,126.13136999999999,15.145806531445585
1000,10000,Float32,KernelForge,68.6788558959961,0.3229447618570094,105.89338000000001,15.617685632666834
1000,10000,Float32,cuBLAS,76.25102996826172,0.3986338362370953,114.92777000000001,15.208385289976835
10000,1000,Float32,KernelForge,72.56031036376953,0.4302758332765244,110.02788000000001,15.672500708250137
10000,1000,Float32,cuBLAS,70.79362869262695,0.38227414318538955,109.40303999999999,15.092284018910949
100000,100,Float32,KernelForge,71.15602493286133,0.3986266343756052,108.48035,15.482379675347591
100000,100,Float32,cuBLAS,73.78816604614258,0.3929982039099568,114.63211,16.7931258494617
1000000,10,Float32,KernelForge,78.39441299438477,0.38888584824746936,129.99419,16.23701486826388
1000000,10,Float32,cuBLAS,75.9434700012207,1.0146160845798744,115.97705,15.675864480777356
10000000,1,Float32,KernelForge,137.29333877563477,0.4371007283528646,189.06342,16.431195089963612
10000000,1,Float32,cuBLAS,152.72855758666992,0.5957766606280581,193.04246,14.93435720747311
1,100000000,Float32,KernelForge,1386.3182067871094,4.45905392133924,1582.54378,769.6220271605265
1,100000000,Float32,cuBLAS,5123.767852783203,1.205036903897523,4905.13198,1142.800964098634
10,10000000,Float32,KernelForge,712.9883766174316,0.422567128508819,779.056,38.94606072583729
10,10000000,Float32,cuBLAS,710.599422454834,0.4385171225556385,770.14725,24.962835178096014
100,1000000,Float32,KernelForge,692.2793388366699,0.3628557380782088,748.1701400000001,20.05692145628123
100,1000000,Float32,cuBLAS,778.965950012207,1.897261417602078,837.68892,23.807781879753925
1000,100000,Float32,KernelForge,658.8554382324219,0.46503508371759394,716.82907,20.308244937202083
1000,100000,Float32,cuBLAS,735.6405258178711,1.4194306611610852,796.9929599999999,19.761852292196345
10000,10000,Float32,KernelForge,672.0733642578125,0.39121904442728217,859.9801199999999,95.06981233610287
10000,10000,Float32,cuBLAS,683.7010383605957,0.9070008763085466,846.5589,54.80568752898966
100000,1000,Float32,KernelForge,692.9683685302734,1.7353760055644203,931.08092,90.60810546899435
100000,1000,Float32,cuBLAS,683.2432746887207,0.9867299006992476,747.6309699999999,29.417382996327632
1000000,100,Float32,KernelForge,672.4691390991211,0.8642401519902067,727.46514,17.672802141017577
1000000,100,Float32,cuBLAS,683.5269927978516,2.028909577874563,1404.73119,5409.727008597072
10000000,10,Float32,KernelForge,733.5400581359863,0.9993577449274476,903.73387,95.99503812773108
10000000,10,Float32,cuBLAS,752.4752616882324,3.946950879679253,817.75588,22.74083168494126
100000000,1,Float32,KernelForge,1332.7836990356445,1.6179209335865623,1493.00074,93.57437123244739
100000000,1,Float32,cuBLAS,1366.3578033447266,1.5871725134992802,1466.35178,37.335228086003966
10,100000000,Float32,KernelForge,7100.319862365723,0.7723786701252434,7401.30269,912.6016830101971
10,100000000,Float32,cuBLAS,7083.592414855957,1.8972735229263316,7386.66526,989.4999419225143
100,10000000,Float32,KernelForge,6894.018650054932,1.411884667675021,7056.3244,40.631708422528014
100,10000000,Float32,cuBLAS,6889.240741729736,1.7276745665489177,7056.34458,34.93587818488453
