n,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1000000,Float32,Base,NaN,NaN,622.78535,1362.6509385771321
1000000,Float32,AK,NaN,NaN,64.19286,17.662619403769764
1000000,Float32,KernelForge,NaN,NaN,83.07322,122.4234009393101
1000000,UnitFloat8→Float32,Base,NaN,NaN,72.2894,20.873647187520703
1000000,UnitFloat8→Float32,AK,NaN,NaN,69.14295,19.987414524172728
1000000,UnitFloat8→Float32,KernelForge,NaN,NaN,73.06407,21.07532300110988
10000000,Float32,Base,NaN,NaN,123.15814999999999,14.111125821385397
10000000,Float32,AK,NaN,NaN,80.10478,156.16652964578446
10000000,Float32,KernelForge,NaN,NaN,75.18319,20.54886267377729
10000000,UnitFloat8→Float32,Base,NaN,NaN,122.07808,15.583152143934486
10000000,UnitFloat8→Float32,AK,NaN,NaN,314.61176,884.2410445463195
10000000,UnitFloat8→Float32,KernelForge,NaN,NaN,82.13717999999999,20.58969381171565
100000000,Float32,Base,NaN,NaN,667.2855999999999,19.372864492543805
100000000,Float32,AK,NaN,NaN,172.31936,17.838888999536316
100000000,Float32,KernelForge,NaN,NaN,166.27918,24.720166588214795
100000000,UnitFloat8→Float32,Base,NaN,NaN,625.4438299999999,15.202599169755894
100000000,UnitFloat8→Float32,AK,NaN,NaN,199.30668,159.13235949962146
100000000,UnitFloat8→Float32,KernelForge,NaN,NaN,98.01441,21.00389457445568
1000000000,Float32,Base,NaN,NaN,6162.50147,43.6532089513081
1000000000,Float32,AK,NaN,NaN,1622.29372,2465.329657398939
1000000000,Float32,KernelForge,NaN,NaN,991.8473299999999,68.36966958685154
1000000000,UnitFloat8→Float32,Base,NaN,NaN,5782.51708,49.95091769729177
1000000000,UnitFloat8→Float32,AK,NaN,NaN,1833.99305,2311.0494203407166
1000000000,UnitFloat8→Float32,KernelForge,NaN,NaN,442.02418,24.87424044477834
