n,p,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1,10000000,Float32,KernelForge,263.6683297729492,2.918993782470558,492.85432000000003,1938.8819768129515
1,10000000,Float32,LinearAlgebra,53558.0863671875,429.5949324199285,53975.441279569895,478.98345364846153
10,1000000,Float32,KernelForge,388.5596499633789,3.1469812718110783,576.54752,1203.0830543181232
10,1000000,Float32,LinearAlgebra,5681.509223632813,39.620338795484706,5778.27877,202.6341515566613
100,100000,Float32,KernelForge,262.1083587646484,2.911012065326478,518.35677,2698.230624856581
100,100000,Float32,LinearAlgebra,835.602939453125,7.506643244346678,930.80867,243.13023802352276
1000,10000,Float32,KernelForge,133.7932802581787,3.8716863364293035,1273.80855,11536.532967272846
1000,10000,Float32,LinearAlgebra,147.9770701599121,1.9086120121451038,282.68253999999996,1614.2648553885808
10000,1000,Float32,KernelForge,189.30708984375,3.388865129720808,1262.5451200000002,11511.801705134149
10000,1000,Float32,LinearAlgebra,174.5038006591797,116.7921315653517,762.81452,6997.727198406356
100000,100,Float32,KernelForge,30.863409957885743,1.1859441149139835,44.14087,14.090217964100434
100000,100,Float32,LinearAlgebra,115.86719978332519,8.738948984875229,105.74919,757.161436960597
1000000,10,Float32,KernelForge,33.66739038467407,1.4107352941991536,48.38247,14.835351022769496
1000000,10,Float32,LinearAlgebra,29.29863010406494,14.531716392397376,71.7013,257.24418346786877
10000000,1,Float32,KernelForge,43.702709999084476,1.9128993910506724,60.346160000000005,15.872363434739153
10000000,1,Float32,LinearAlgebra,1021.2525090026855,6283.289529946815,148.02392,274.06278237735563
1,100000000,Float32,KernelForge,2797.5898828125,10.259109737313507,2898.81194,226.1818463514834
1,100000000,Float32,LinearAlgebra,737747.765,4005.5805314817485,737457.5171428572,2807.1112565874805
10,10000000,Float32,KernelForge,4440.543828125,9.76358028406559,4542.98331,218.93417714111817
10,10000000,Float32,LinearAlgebra,75250.23875,386.2493713125507,75341.18770149253,423.8448133434237
100,1000000,Float32,KernelForge,1961.042373046875,4.8192988256821945,2070.05542,262.169238394105
100,1000000,Float32,LinearAlgebra,10571.863837890625,43.78552714283781,10792.00625,168.07281926836254
1000,100000,Float32,KernelForge,307.3193518066406,43.20626301758279,497.64049,1595.2695488667248
1000,100000,Float32,LinearAlgebra,1096.5261303710938,3.479592920334267,1183.59224,201.60173388780188
10000,10000,Float32,KernelForge,251.59078872680664,7.147932937887092,546.51058,2866.73047444783
10000,10000,Float32,LinearAlgebra,141.0930303955078,2.0944434634806974,257.7456,797.6073177234522
100000,1000,Float32,KernelForge,155.09281982421874,1.951073378350548,199.84135999999998,25.93936163498838
100000,1000,Float32,LinearAlgebra,163.014130859375,8.575037518135366,145.19482,84.86816526318329
1000000,100,Float32,KernelForge,142.30347991943358,2.44541587103037,182.38436,36.214906400909925
1000000,100,Float32,LinearAlgebra,170.41692001342773,16.95941783830039,159.97597,175.91540314344363
10000000,10,Float32,KernelForge,201.57058914184572,3.6571530226279356,249.817,36.4974491160656
10000000,10,Float32,LinearAlgebra,159.8156103515625,36.71466340710199,186.59011999999998,29.41814833019532
100000000,1,Float32,KernelForge,285.65795013427737,4.425111892892395,354.03585,39.77941635726632
100000000,1,Float32,LinearAlgebra,13217.839450683594,23618.34068282321,2307.2502000000004,12496.594383041387
10,100000000,Float32,KernelForge,43906.445859375,170.52059782635897,44330.18812,233.71278625202007
10,100000000,Float32,LinearAlgebra,752899.41125,4023.1833623442863,752326.6507142858,3646.1650458567974
100,10000000,Float32,KernelForge,19111.68830078125,38.53399145096423,19576.08859,176.5272774447692
100,10000000,Float32,LinearAlgebra,105735.6265625,402.83479955641235,106045.8866875,464.86440539119445
1000,1000000,Float32,KernelForge,2140.170769042969,4.941880923938297,2232.63915,264.2473874029034
1000,1000000,Float32,LinearAlgebra,10868.700107421875,22.742037430774452,11180.91242,207.0644620250926
10000,100000,Float32,KernelForge,1410.7217858886718,21.402809497037968,1514.6236399999998,340.93333952147157
10000,100000,Float32,LinearAlgebra,1294.3410913085938,8.633676719230422,1386.43433,216.09658429952174
100000,10000,Float32,KernelForge,1412.493837890625,17.05848680669283,1465.10326,53.83938344661384
100000,10000,Float32,LinearAlgebra,1086.1849780273437,30.912979977024413,1157.83851,180.5336618774424
1000000,1000,Float32,KernelForge,1219.1446789550782,13.738090227509407,1270.0054,63.685483845110724
1000000,1000,Float32,LinearAlgebra,1011.9244311523438,42.713688481817826,1088.58779,194.1334812918962
10000000,100,Float32,KernelForge,1299.090653076172,7.055853380635441,1370.1800600000001,67.918902286584
10000000,100,Float32,LinearAlgebra,1162.8911743164062,16.975274543753933,1205.26891,139.95165916231488
100000000,10,Float32,KernelForge,1872.8676416015626,21.97717196130749,1920.3441799999998,67.30696318644465
100000000,10,Float32,LinearAlgebra,27329.108067626952,233530.51777995465,2813.0106299999998,11847.02439087811
