n,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1000000,Float32,Base,110.5795799255371,3.164063646679638,351.95671000000004,2534.8419550626954
1000000,Float32,AK,41.25911987304688,2.093342776802153,61.89602,62.40027733782903
1000000,Float32,KernelForge,38.758629875183104,2.0529953267072347,53.08536,18.876534015405145
1000000,Float64,Base,55.95133007049561,11.783345903473894,68.83539,63.15906861505409
1000000,Float64,AK,47.45713020324707,1.9110312315730724,67.3657,50.92983460149221
1000000,Float64,KernelForge,52.491480369567874,9.082403798356118,61.870059999999995,19.41083750909384
10000000,Float32,Base,157.96103118896485,3.166949446110745,267.61376,1292.8489671973423
10000000,Float32,AK,141.77339950561523,2.3949357543715117,170.54417999999998,54.59443491459582
10000000,Float32,KernelForge,98.60160980224609,2.2934194456209487,116.62832,25.59884542333261
10000000,Float64,Base,208.5481800842285,6.721738586390179,321.46208,710.5137265911887
10000000,Float64,AK,258.83497924804686,7.525406218988815,320.65314,69.7649378239253
10000000,Float64,KernelForge,146.8513298034668,13.819076059523294,181.29546,38.24868438997661
100000000,Float32,Base,2102.648896484375,10.028589797310026,2195.3802,190.90629980324283
100000000,Float32,AK,2453.82158203125,25.645441684568777,2534.78034,68.4670458521588
100000000,Float32,KernelForge,778.8578723144532,27.917479267582618,859.28932,42.096807285036896
100000000,Float64,Base,2568.372255859375,25.816680343173076,2697.2185600000003,507.2305105601569
100000000,Float64,AK,3103.1671875,17.783087120752505,3191.75076,110.7341976416308
100000000,Float64,KernelForge,1328.5446459960938,36.980974619887725,1410.93405,53.15564836742293
1000000000,Float32,Base,156267.05375,56.86227251378939,156854.2029375,1375.1598585458814
1000000000,Float32,AK,159883.38921875,54.78176620746886,160253.19528125,157.98977537930176
1000000000,Float32,KernelForge,7467.1655078125,11.760757665150763,7554.351769999999,102.130367009089
1000000000,Float64,Base,270080.413125,518.3221234122734,272325.4640526316,8352.56365363064
1000000000,Float64,AK,275407.9665625,431.47757317619727,276113.8101052632,526.6725533430399
1000000000,Float64,KernelForge,13055.514619140626,20.11799827879779,13311.08091,117.33910731687502
