n,p,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1,10000000,Float32,KernelForge,36.895109996795654,1.108250861917313,54.05483,14.051083751332838
1,10000000,Float32,LinearAlgebra,448.4477499389648,17.349427340164745,518.708,124.34004183185509
10,1000000,Float32,KernelForge,29.751769981384278,1.340404804327069,42.63042,33.30036689462696
10,1000000,Float32,LinearAlgebra,133.1877003479004,16.83575612702208,91.60587,117.76145475148034
100,100000,Float32,KernelForge,27.846559982299805,1.2494678176103544,44.56238,43.41165982269293
100,100000,Float32,LinearAlgebra,108.86601036071778,8.31132701819524,55.982440000000004,238.70721303986394
1000,10000,Float32,KernelForge,30.471730060577393,4.9544776925746135,42.04505,41.363435856881665
1000,10000,Float32,LinearAlgebra,82.78906066894531,2.2508491130679866,649.9579699999999,6027.344731512217
10000,1000,Float32,KernelForge,28.458729934692382,1.2053218297034187,45.77738,59.21073443915248
10000,1000,Float32,LinearAlgebra,103.00423011779785,3.0522991801496984,591.4142099999999,5441.052267356542
100000,100,Float32,KernelForge,48.91802001953125,1.9894636031198174,64.15802,44.46978282661229
100000,100,Float32,LinearAlgebra,137.36600036621093,1.6041028297206363,297.06967,1664.7297999463624
1000000,10,Float32,KernelForge,52.5587202835083,8.874447984604412,65.26783999999999,61.68600634947832
1000000,10,Float32,LinearAlgebra,98.76058937072754,3.92742972854397,663.48629,6075.551101749254
10000000,1,Float32,KernelForge,56.93464027404785,10.205733942843963,69.02261999999999,43.96885399245354
10000000,1,Float32,LinearAlgebra,104.78784019470214,2.3390923626617197,533.20058,4700.119085277989
1,100000000,Float32,KernelForge,283.5703988647461,3.478057006888908,345.56757,69.96663703772525
1,100000000,Float32,LinearAlgebra,4740.021596679688,156.54122363278432,4575.062190000001,74.7823299760064
10,10000000,Float32,KernelForge,145.6051188659668,2.6503481361397405,232.27045,406.75802289471767
10,10000000,Float32,LinearAlgebra,686.1022100830078,94.71132086656925,746.1837800000001,97.20162147976002
100,1000000,Float32,KernelForge,162.53233947753907,8.045582748799154,198.10518,70.87191327914084
100,1000000,Float32,LinearAlgebra,169.43365097045898,13.698816423697684,151.20657999999997,93.47204719266333
1000,100000,Float32,KernelForge,137.24170959472656,12.513546360254809,169.11006,196.70362401979688
1000,100000,Float32,LinearAlgebra,175.00475067138672,6.753442599251409,199.96287,113.28882143858027
10000,10000,Float32,KernelForge,131.926030960083,12.27118581035992,170.87538,179.22739777209617
10000,10000,Float32,LinearAlgebra,164.4334700012207,12.634771419990997,290.73607,1232.8914883368197
100000,1000,Float32,KernelForge,129.96026069641113,1.9186050111025132,179.42448000000002,201.26314050307676
100000,1000,Float32,LinearAlgebra,185.8357810974121,1.6723525659065221,295.13807,685.409304109614
1000000,100,Float32,KernelForge,187.29028991699218,3.1792225490730446,247.99584,185.31702962007154
1000000,100,Float32,LinearAlgebra,148.21302017211914,3.3822917141670747,276.08691,1107.6577868812774
10000000,10,Float32,KernelForge,156.00549057006836,2.65079671307143,222.83104999999998,193.98464445463048
10000000,10,Float32,LinearAlgebra,158.6331103515625,2.456596973600861,276.45596,938.8200958214519
100000000,1,Float32,KernelForge,212.3869300842285,2.804749667931031,277.1177,167.10572560674143
100000000,1,Float32,LinearAlgebra,232.07088104248047,3.37502374611512,329.30513,586.0461653308406
10,100000000,Float32,KernelForge,1410.5543127441406,12.815352308711747,1466.92157,292.12088397429636
10,100000000,Float32,LinearAlgebra,6877.001088867188,82.85669289908266,6876.59181,143.33246277717973
100,10000000,Float32,KernelForge,1452.2393908691406,29.55626221167362,1522.04972,380.72568654225626
100,10000000,Float32,LinearAlgebra,1247.646971435547,30.152351553243086,1280.3028100000001,132.33530681168702
1000,1000000,Float32,KernelForge,1180.072987060547,28.276785905060976,1228.9473899999998,147.79766063045875
1000,1000000,Float32,LinearAlgebra,1495.1910900878906,14.473859360305791,1543.65837,130.24129995974835
10000,100000,Float32,KernelForge,1179.3717456054687,41.954268028600985,1339.273,1230.0700932262178
10000,100000,Float32,LinearAlgebra,1079.930447998047,8.466131868870402,1146.32928,168.47954413357175
100000,10000,Float32,KernelForge,1040.570054321289,44.00885877761077,1205.2223000000001,1236.33571276913
100000,10000,Float32,LinearAlgebra,1112.272412109375,4.503756668319334,1196.14901,167.16497716760037
1000000,1000,Float32,KernelForge,1176.0681896972656,7.890547148868514,1364.48014,1268.2097617782385
1000000,1000,Float32,LinearAlgebra,1640.3386767578124,4.322214595205085,1725.77132,143.38053951162283
10000000,100,Float32,KernelForge,1212.5523559570313,29.096175830745597,1375.29798,1272.389491618947
10000000,100,Float32,LinearAlgebra,1159.215897216797,53.781304953097646,1212.73795,171.98308851065602
100000000,10,Float32,KernelForge,1411.8916845703125,13.119973931608898,1567.00754,1247.296068090147
100000000,10,Float32,LinearAlgebra,1242.1019995117188,66.36291935345058,1298.51922,170.56833152245807
