n,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1000000,Float32,CUDA,11.708736419677734,0.2556080615572284,42.90456,15.897797361771836
1000000,Float32,AK,24.404525756835938,0.29448859943868455,53.932809999999996,17.585491234350958
1000000,Float32,KernelForge,9.770393371582031,0.24897396521661694,49.90323,17.682573508854997
1000000,Float32,CUB,9.117999999999999,0.133,NaN,NaN
1000000,UnitFloat8→Float32,CUDA,9.150505065917969,1.1150840623663982,42.8131,13.592831237104505
1000000,UnitFloat8→Float32,AK,28.357505798339844,0.26644157750193614,69.46672,24.467836148699295
1000000,UnitFloat8→Float32,KernelForge,6.999969482421875,0.22863284609613688,44.25305,16.32570452723576
1000000,UnitFloat8→Float32,CUB,7.0280000000000005,0.28600000000000003,NaN,NaN
100000000,Float32,CUDA,2226.6292572021484,56.60868659055679,2308.97993,30.333847218176206
100000000,Float32,AK,2244.863510131836,115.01227087508802,3012.87114,64.52492685354204
100000000,Float32,KernelForge,2220.7069396972656,4.489258065170157,2333.85241,44.400511066103874
100000000,Float32,CUB,2191.882,1.616,NaN,NaN
100000000,UnitFloat8→Float32,CUDA,1207.5614929199219,36.90079833280831,1482.1555600000002,51.725314222736316
100000000,UnitFloat8→Float32,AK,2196.0067749023438,54.08871983464491,2666.42638,137.18470993325133
100000000,UnitFloat8→Float32,KernelForge,558.8197708129883,1.0875777765756347,721.8557099999999,57.36697217943669
100000000,UnitFloat8→Float32,CUB,556.276,1.1329999999999998,NaN,NaN
