n,p,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1,1000000,Float32,KernelForge,18.184185028076172,0.32654282310227334,54.15823,18.578471798856576
1,1000000,Float32,cuBLAS,11.522769927978516,0.2712151926232709,34.90452,14.282744049567457
10,100000,Float32,KernelForge,20.573139190673828,0.20132332248301582,59.63695,17.19598448568206
10,100000,Float32,cuBLAS,25.36773681640625,0.26466859592111475,50.40862,16.56225767547066
100,10000,Float32,KernelForge,13.515949249267578,0.3597409025114783,55.342349999999996,22.587327404996486
100,10000,Float32,cuBLAS,27.081966400146484,1.1995807681607333,55.764849999999996,15.65639712503706
1000,1000,Float32,KernelForge,12.91513442993164,0.2626104969816823,67.5355,19.6340292841101
1000,1000,Float32,cuBLAS,26.960372924804688,14.925043830689074,49.51276,15.38091529117638
10000,100,Float32,KernelForge,8.230209350585938,0.1533566002287616,31.06596,14.485790288458968
10000,100,Float32,cuBLAS,7.758140563964844,0.1674597065107463,35.44853,14.628748429556525
100000,10,Float32,KernelForge,11.546611785888672,0.13235599032984668,39.0155,14.847287013682555
100000,10,Float32,cuBLAS,12.364387512207031,1.1734124980394887,42.710080000000005,15.149632291887283
1000000,1,Float32,KernelForge,18.532276153564453,0.4416484023805633,46.52586,14.503455454532764
1000000,1,Float32,cuBLAS,125.33426284790039,2.303764791988562,140.95607,13.922740944192377
1,10000000,Float32,KernelForge,505.55944442749023,1.419816917037209,580.81564,27.845344468258237
1,10000000,Float32,cuBLAS,453.49597930908203,1.3649911910150583,501.22512,31.409742307182913
10,1000000,Float32,KernelForge,256.1807632446289,2.893252693282958,328.55629999999996,48.167933948831454
10,1000000,Float32,cuBLAS,257.28464126586914,1.5766374579531777,302.52804,42.90557085557572
100,100000,Float32,KernelForge,239.0909194946289,1.2958884388452176,311.46340000000004,44.024162984718416
100,100000,Float32,cuBLAS,227.67066955566406,0.7981026436317447,267.32466,23.682495501022682
1000,10000,Float32,KernelForge,303.79295349121094,1.1162265931938122,363.74312,24.74332038229732
1000,10000,Float32,cuBLAS,220.75414657592773,0.2582895727830634,262.94957,23.103462514670124
10000,1000,Float32,KernelForge,239.53914642333984,1.3226919950718274,280.27428999999995,18.151631999585707
10000,1000,Float32,cuBLAS,223.68907928466797,0.6567328263201944,270.73068,36.00051112260054
100000,100,Float32,KernelForge,227.7541160583496,0.6960157966326229,285.55539,52.86507095835796
100000,100,Float32,cuBLAS,233.7789535522461,1.9311087267904323,282.8612,23.244310097724817
1000000,10,Float32,KernelForge,251.35040283203125,11.575298715129437,291.43210999999997,17.38816380829619
1000000,10,Float32,cuBLAS,245.56875228881836,0.7723749531833349,285.33549,28.12879088507831
10000000,1,Float32,KernelForge,461.4758491516113,22.645600989190033,562.09549,232.3651724482369
10000000,1,Float32,cuBLAS,1704.9598693847656,45.971039051392054,1768.75125,141.4211979555374
