n,T,method,mean_kernel_μs,std_kernel_μs
100000,Float32,Forge v1,3.62396240234375,0.1880671114317454
100000,Float32,Forge v4,2.5987625122070312,0.2087581242968829
100000,Float32,Forge v8,3.4570693969726562,0.20261683120698867
100000,Float32,CUDA,3.147125244140625,0.2190915545160011
100000,UInt8,Forge v1,3.4570693969726562,0.12565762441032646
100000,UInt8,Forge v4,1.9788742065429688,0.19628348406519047
100000,UInt8,Forge v8,1.8835067749023438,0.2087581242968829
100000,UInt8,CUDA,1.7881393432617188,0.25752149814001163
200000,Float32,Forge v1,5.340576171875,0.2562922715599871
200000,Float32,Forge v4,3.5524368286132812,0.2087581242968829
200000,Float32,Forge v8,5.340576171875,0.23033423020346067
200000,Float32,CUDA,4.673004150390625,0.20105219905652233
200000,UInt8,Forge v1,5.173683166503906,0.22618372393858763
200000,UInt8,Forge v4,2.6702880859375,0.2190915545160011
200000,UInt8,Forge v8,2.002716064453125,0.2562922715599871
200000,UInt8,CUDA,2.4557113647460938,0.252568699233861
300000,Float32,Forge v1,5.984306335449219,0.17592067417445703
300000,Float32,Forge v4,3.6716461181640625,0.1231188248382383
300000,Float32,Forge v8,5.841255187988281,0.25752149814001163
300000,Float32,CUDA,5.221366882324219,0.17592067417445703
300000,UInt8,Forge v1,7.033348083496094,0.23170121092976334
300000,UInt8,Forge v4,3.0994415283203125,0.19466795466607237
300000,UInt8,Forge v8,2.8371810913085938,0.13533740334452313
300000,UInt8,CUDA,2.9087066650390625,0.2190915545160011
400000,Float32,Forge v1,6.67572021484375,0.15894571940104166
400000,Float32,Forge v4,3.910064697265625,0.16670367688658264
400000,Float32,Forge v8,6.866455078125,0.35184134834891406
400000,Float32,CUDA,5.745887756347656,1.0629773507673077
400000,UInt8,Forge v1,8.678436279296875,0.1231188248382383
400000,UInt8,Forge v4,3.6716461181640625,0.16670367688658264
400000,UInt8,Forge v8,2.8371810913085938,0.17592067417445703
400000,UInt8,CUDA,3.2186508178710938,0.20261683120698867
500000,Float32,Forge v1,8.082389831542969,0.237090331557215
500000,Float32,Forge v4,4.482269287109375,0.1880671114317454
500000,Float32,Forge v8,7.62939453125,0.15894571940104166
500000,Float32,CUDA,5.9604644775390625,0.15894571940104166
500000,UInt8,Forge v1,7.7724456787109375,0.16670367688658264
500000,UInt8,Forge v4,3.0517578125,0.15078914929239173
500000,UInt8,Forge v8,2.4318695068359375,0.1880671114317454
500000,UInt8,CUDA,2.7179718017578125,0.27985281724387817
600000,Float32,Forge v1,9.512901306152344,0.237090331557215
600000,Float32,Forge v4,5.269050598144531,0.13533740334452313
600000,Float32,Forge v8,9.298324584960938,0.29736021254650286
600000,Float32,CUDA,6.4849853515625,0.1880671114317454
600000,UInt8,Forge v1,9.131431579589844,0.22618372393858763
600000,UInt8,Forge v4,3.9815902709960938,0.5511773708470568
600000,UInt8,Forge v8,3.3140182495117188,0.17592067417445703
600000,UInt8,CUDA,3.910064697265625,0.20105219905652233
700000,Float32,Forge v1,10.848045349121094,0.16858739404357612
700000,Float32,Forge v4,5.745887756347656,0.17592067417445703
700000,Float32,Forge v8,10.275840759277344,0.2854392527908956
700000,Float32,CUDA,7.2956085205078125,0.2562922715599871
700000,UInt8,Forge v1,10.395050048828125,0.20105219905652233
700000,UInt8,Forge v4,3.6716461181640625,0.1231188248382383
700000,UInt8,Forge v8,3.1232833862304688,0.5325274647951429
700000,UInt8,CUDA,4.315376281738281,0.13533740334452313
800000,Float32,Forge v1,12.20703125,0.15078914929239173
800000,Float32,Forge v4,6.413459777832031,0.2854392527908956
800000,Float32,Forge v8,11.444091796875,0.2753020616481904
800000,Float32,CUDA,8.273124694824219,0.8994839233983938
800000,UInt8,Forge v1,11.706352233886719,0.2623808228050737
800000,UInt8,Forge v4,4.100799560546875,0.15078914929239173
800000,UInt8,Forge v8,2.9325485229492188,0.22618372393858763
800000,UInt8,CUDA,3.528594970703125,0.1880671114317454
900000,Float32,Forge v1,13.613700866699219,0.13533740334452313
900000,Float32,Forge v4,7.0095062255859375,0.1231188248382383
900000,Float32,Forge v8,12.898445129394531,0.2623808228050737
900000,Float32,CUDA,8.535385131835938,0.1880671114317454
900000,UInt8,Forge v1,13.041496276855469,0.160920276095999
900000,UInt8,Forge v4,4.458427429199219,0.19628348406519047
900000,UInt8,Forge v8,3.24249267578125,0.23033423020346067
900000,UInt8,CUDA,3.6954879760742188,0.16858739404357612
1000000,Float32,Forge v1,14.8773193359375,0.1231188248382383
1000000,Float32,Forge v4,7.557868957519531,0.160920276095999
1000000,Float32,Forge v8,13.92364501953125,0.30157829858478347
1000000,Float32,CUDA,9.202957153320312,0.20105219905652233
1000000,UInt8,Forge v1,14.352798461914062,0.15078914929239173
1000000,UInt8,Forge v4,4.744529724121094,0.13533740334452313
1000000,UInt8,Forge v8,3.4809112548828125,0.16670367688658264
1000000,UInt8,CUDA,4.1484832763671875,0.3589499724908261
1100000,Float32,Forge v1,16.4031982421875,0.1880671114317454
