n,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1000000,Float32,CUDA,133.47387313842773,0.4178667820889052,202.318,18.499995494402945
1000000,Float32,AK,48.44188690185547,0.6814473859194379,80.63314,20.97332412636335
1000000,Float32,KernelForge,18.13650131225586,0.40417669278521345,46.02286,15.36216921565783
1000000,Float32,CUB,17.781000000000002,0.669,NaN,NaN
1000000,Float64,CUDA,364.23206329345703,42.21143441025982,767.8462099999999,3424.3262170267353
1000000,Float64,AK,104.65145111083984,0.246284281179532,142.8622,17.43513900898488
1000000,Float64,KernelForge,49.784183502197266,0.48126586799773113,81.64925,18.14276553617185
1000000,Float64,CUB,55.842999999999996,0.8170000000000001,NaN,NaN
100000000,Float32,CUDA,16620.423793792725,640.1495772522625,19037.98603,665.5686565013555
100000000,Float32,AK,21380.009651184082,1685.8063476672114,29608.24888,1087.5207080050677
100000000,Float32,KernelForge,4750.161170959473,11.882806760888704,4950.96742,62.296571043528665
100000000,Float32,CUB,4745.321,6.946,NaN,NaN
100000000,Float64,CUDA,36935.646533966064,848.9942778686345,39162.393469999995,666.5307198426254
100000000,Float64,AK,137700.18815994263,1547.216936745332,147454.49497058825,1210.9439043955574
100000000,Float64,KernelForge,9593.911170959473,37.52301363586796,9748.748619999998,74.98904270204609
100000000,Float64,CUB,10001.272,595.094,NaN,NaN
