n,p,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
10,100000,Float32,KernelForge,9.9945068359375,1.4347917888112787,39.50731,21.310027197198824
10,100000,Float32,cuBLAS,16.498565673828125,0.14771149592154584,42.93146,15.443787338668589
100,10000,Float32,KernelForge,15.263557434082031,1.2787611712589113,44.1619,16.777403473816573
100,10000,Float32,cuBLAS,14.028549194335938,0.14661905570713185,40.47053,16.803697238342483
1000,1000,Float32,KernelForge,12.936592102050781,0.4374224422010927,44.15078,18.935554733416772
1000,1000,Float32,cuBLAS,26.357173919677734,1.1468624822029918,48.91449,15.07032732513689
10000,100,Float32,KernelForge,13.418197631835938,0.28570063489661335,56.457080000000005,20.857695751792516
10000,100,Float32,cuBLAS,24.268627166748047,1.2896326257795392,46.7025,19.757789609992493
100000,10,Float32,KernelForge,15.854835510253906,0.22350236572291662,58.55663,18.761607563230466
100000,10,Float32,cuBLAS,15.010833740234375,1.4232360579700725,40.53402,22.246550284373342
1000000,1,Float32,KernelForge,16.58916473388672,0.2562474613014821,52.38647,15.420141899185305
1000000,1,Float32,cuBLAS,12.364387512207031,0.20618435245310768,39.033550000000005,17.410618795897538
10,1000000,Float32,KernelForge,245.27788162231445,0.9589908017356495,294.89893,21.32085161291877
10,1000000,Float32,cuBLAS,244.05479431152344,2.3324536598142553,308.18676,48.224179017391414
100,100000,Float32,KernelForge,225.0051498413086,0.6208138717806169,265.72021,16.585860845483953
100,100000,Float32,cuBLAS,224.7786521911621,0.6083650831356686,262.80883,16.606703088688572
1000,10000,Float32,KernelForge,223.59132766723633,0.6542056327685029,268.98626,28.23696684916438
1000,10000,Float32,cuBLAS,227.48708724975586,0.9063676062880301,272.24204,30.46369798941526
10000,1000,Float32,KernelForge,225.6608009338379,0.7965291462833176,292.69507,45.438724758090586
10000,1000,Float32,cuBLAS,221.8151092529297,0.3513841144346911,263.37939,22.93197025278566
100000,100,Float32,KernelForge,227.71358489990234,0.8820478499835223,295.604,32.95826532529473
100000,100,Float32,cuBLAS,223.86789321899414,0.5961235073638216,274.29922,38.620383859382606
1000000,10,Float32,KernelForge,255.32245635986328,0.656662879272779,322.56165000000004,34.6076002218976
1000000,10,Float32,cuBLAS,224.56884384155273,0.7276670375715579,268.23008000000004,17.826513470636595
10000000,1,Float32,KernelForge,449.5429992675781,0.7319038137139916,534.65582,53.6897193190012
10000000,1,Float32,cuBLAS,452.30865478515625,1.352219566951392,501.57921000000005,23.297829863950767
10,10000000,Float32,KernelForge,2449.6984481811523,5.352760582516219,2575.7104,127.99661317118094
10,10000000,Float32,cuBLAS,2445.8765983581543,76.67786861052564,2802.1799100000003,164.00984384383364
100,1000000,Float32,KernelForge,2239.4657135009766,80.99852934800738,2420.37242,154.25305528609326
100,1000000,Float32,cuBLAS,2219.977378845215,1.2444638742139094,2302.58541,41.79238681916029
1000,100000,Float32,KernelForge,2204.2131423950195,1.2939551892029955,2293.87837,44.21018355461131
1000,100000,Float32,cuBLAS,2208.263874053955,14.830838737597487,2325.73297,33.34363232970404
10000,10000,Float32,KernelForge,2206.141948699951,1.8336324170847498,2312.09955,72.57010106979529
10000,10000,Float32,cuBLAS,2185.1563453674316,0.8198320700445105,2275.1756800000003,41.30404545351289
100000,1000,Float32,KernelForge,2224.605083465576,5.196936732880559,2382.48865,68.61714555833134
100000,1000,Float32,cuBLAS,2187.6931190490723,1.0219014167652445,2273.7806600000004,47.51780026670282
1000000,100,Float32,KernelForge,2286.396026611328,1.9633379171549694,2380.7896299999998,29.607655280095205
1000000,100,Float32,cuBLAS,2217.0305252075195,6.112181121531726,2296.84029,23.290732286259317
10000000,10,Float32,KernelForge,2421.1668968200684,2.4396285169962173,2524.4171800000004,56.695469158109816
10000000,10,Float32,cuBLAS,2415.4210090637207,3.0145442422768727,2489.01273,38.984617895545895
100000000,1,Float32,KernelForge,4378.509521484375,2.568740935835773,4539.2490800000005,120.30084254864025
100000000,1,Float32,cuBLAS,4443.323612213135,62.7342407843217,4585.159549999999,64.68378208606136
